Date,Day,Time Slot,Course Code,Course Title
09-Apr-2025,Wednesday,09:00 - 10:00,MG2008,Data Analysis for Business I
09-Apr-2025,Wednesday,10:30 - 11:30,AF4007,Financial Risk Mgmt.
09-Apr-2025,Wednesday,12:00 - 13:00,DS2004,Fundamental of Big Data Analytics
09-Apr-2025,Wednesday,14:00 - 15:00,EE2003,Computer Organization and Assembly Language
09-Apr-2025,Wednesday,15:30 - 16:30,CV2006,Structural Analysis-I
09-Apr-2025,Wednesday,17:00 - 18:00,BA3001,Machine Learning for Business Analytics
09-Apr-2025,Wednesday,18:30 - 19:30,EE1001,Linear Circuit Analysis
09-Apr-2025,Wednesday,09:00 - 10:00,AF3001,Financial Management
09-Apr-2025,Wednesday,10:30 - 11:30,MG1009,Fundamentals of Management
09-Apr-2025,Wednesday,12:00 - 13:00,SS2012,Technical and Business Writing
09-Apr-2025,Wednesday,14:00 - 15:00,MG3002,Business Law
09-Apr-2025,Wednesday,15:30 - 16:30,CS4083,Distributed Data Engineering
09-Apr-2025,Wednesday,17:00 - 18:00,CS2006,Operating Systems
09-Apr-2025,Wednesday,18:30 - 19:30,SE4001,Software Re-Engineering
09-Apr-2025,Wednesday,09:00 - 10:00,CS2018,Operating Systems
09-Apr-2025,Wednesday,10:30 - 11:30,CS4080,Mining Massive Datasets
09-Apr-2025,Wednesday,12:00 - 13:00,SE2003,Formal Methods
09-Apr-2025,Wednesday,14:00 - 15:00,CS4104,Applied Machine Learning
09-Apr-2025,Wednesday,15:30 - 16:30,NS1004,Engineering Mechanics
09-Apr-2025,Wednesday,17:00 - 18:00,CS3006,Parallel and Distributed Computing
09-Apr-2025,Wednesday,18:30 - 19:30,CS4032,Web Programming
09-Apr-2025,Wednesday,09:00 - 10:00,CS4059,Fundamentals of Computer Vision
09-Apr-2025,Wednesday,10:30 - 11:30,AF2004,Business Finance
09-Apr-2025,Wednesday,12:00 - 13:00,CS4063,Natural Language Processing
09-Apr-2025,Wednesday,14:00 - 15:00,EE3032,Power Electronics
09-Apr-2025,Wednesday,15:30 - 16:30,MT4031,Operations Research
09-Apr-2025,Wednesday,17:00 - 18:00,EE2010,Electro-Mechanical Systems
09-Apr-2025,Wednesday,18:30 - 19:30,EE3031,Digital Signal Processing
09-Apr-2025,Wednesday,09:00 - 10:00,CV3004,Transportation planning and Engineering
09-Apr-2025,Wednesday,10:30 - 11:30,MG3007,Construction Engineering and Management
