id,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
0,Introduction to Information and Communication Technology,CL1000,BCS-1A,Ms. Rushda Muneer,1,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-14'}]"
1,Introduction to Information and Communication Technology,CL1000,BCS-1B,Maimoona Majid,1,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20', 'room': 'Lab-1'}]"
2,Introduction to Information and Communication Technology,CL1000,BCS-1C,Ms. Marwa Khan,1,BS,CS,CS,Core,False,"[{'day': 'Thursday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-16'}]"
3,Introduction to Information and Communication Technology,CL1000,BCS-1D,Ms. Namra Absar,1,BS,CS,CS,Core,False,"[{'day': 'Wednesday', 'start_time': '11:30', 'end_time': '14:20', 'room': 'Lab-8'}]"
4,Introduction to Information and Communication Technology,CL1000,BCS-1E,Ms. Ansa Liaqat,1,BS,CS,CS,Core,False,"[{'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-16'}]"
5,Introduction to Information and Communication Technology,CL1000,BCS-1F,Ms. Marwa Khan,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '08:30', 'end_time': '11:20', 'room': 'Lab-8'}]"
6,Introduction to Information and Communication Technology,CL1000,BCS-1G,Maimoona Majid,1,BS,CS,CS,Core,False,"[{'day': 'Thursday', 'start_time': '11:30', 'end_time': '14:20', 'room': 'Lab-16'}]"
7,Introduction to Information and Communication Technology,CL1000,BCS-1H,Maimoona Majid,1,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '11:30', 'end_time': '14:20', 'room': 'Lab-15'}]"
8,Introduction to Information and Communication Technology,CL1000,BCS-1J,Ms. Seemab Ayub,1,BS,CS,CS,Core,False,"[{'day': 'Wednesday', 'start_time': '14:30', 'end_time': '17:20', 'room': 'Lab-3'}]"
9,Programming Fundamentals,CS1002,BCS-1A,Mr. Uzair Naqvi,3,BS,CS,CS,Core,False,"[{'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-4'}, {'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-14'}]"
