,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures

0,Software for Mobile Devices,CS4039,BCS-6B,Mr. Usman Anwar,,,,CS,,False,"[{'room': 'Seminar Hall', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'Seminar Hall', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

1,Database Systems,CS2005,BCS-4B,Dr. Zareen Alamgir,3.0,BS,CS,CS,Core,False,"[{'room': 'F-201', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-201', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

2,Database Systems,CS2005,BCS-4C,Mr. Ishaq Raza,3.0,BS,CS,CS,Core,False,"[{'room': 'F-201', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-201', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

3,Object Oriented Programming,CS1004,BCS-2H,Mr. Raziuddin,3.0,BS,CS,CS,Core,False,"[{'room': 'F-201', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-201', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

4,Software Quality Assurance,CS5002,MSP-2A,Dr. Ali Afzal Malik,3.0,MS,SPM,SE,Core,False,"[{'room': 'F-201', 'day': 'Monday', 'start_time': '17:30', 'end_time': '20:20'}]"

5,Digital Image Processing,CS4005,BCS-6A,Dr. Asif Gilani,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-202', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-202', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

6,Compiler Construction,CS4031,BCS-6C,Dr. Aatira Anum,3.0,BS,CS,CS,Core,False,"[{'room': 'F-202', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-202', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

7,Digital Image Processing,CS4005,BCS-6B,Dr. Asif Gilani,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-202', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-202', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

8,Data Mining,DS3002,BDS-6A,Ms. Esha Tur Razia,3.0,BS,DS,DS,Core,False,"[{'room': 'F-202', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-202', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

9,Data Mining,DS3002,BDS-6B,Ms. Esha Tur Razia,3.0,BS,DS,DS,Core,False,"[{'room': 'F-202', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-202', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

10,Secure Systems Design,CS5001,MCY-2A,Dr. Ammar Haider,3.0,MS,CY,CY,Core,False,"[{'room': 'F-202', 'day': 'Monday', 'start_time': '17:30', 'end_time': '20:20'}]"

11,Software Re-Engineering,SE4001,BSE-8A,Dr. Farooq Ahmed,3.0,BS,SE,SE,Core,False,"[{'room': 'F-203', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-210', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

